Threshold,TN,FP,FN,TP,Precision,Recall,Accuracy,F-Score
0,168,88,29,215,70.9570957096,88.1147540984,76.6,78.6106032907
0.05,168,88,29,215,70.9570957096,88.1147540984,76.6,78.6106032907
0.1,171,85,30,214,71.5719063545,87.7049180328,77,78.8213627993
0.15,173,83,30,214,72.0538720539,87.7049180328,77.4,79.112754159
0.2,179,77,51,193,71.4814814815,79.0983606557,74.4,75.0972762646
0.25,206,50,77,167,76.9585253456,68.4426229508,74.6,72.4511930586
0.3,206,50,77,167,76.9585253456,68.4426229508,74.6,72.4511930586
0.35,240,16,129,115,87.786259542,47.131147541,71,61.3333333333
0.4,240,16,129,115,87.786259542,47.131147541,71,61.3333333333
0.45,240,16,129,115,87.786259542,47.131147541,71,61.3333333333
0.5,244,12,134,110,90.1639344262,45.0819672131,70.8,60.1092896175
0.55,244,12,134,110,90.1639344262,45.0819672131,70.8,60.1092896175
0.6,244,12,134,110,90.1639344262,45.0819672131,70.8,60.1092896175
0.65,244,12,134,110,90.1639344262,45.0819672131,70.8,60.1092896175
0.7,244,12,134,110,90.1639344262,45.0819672131,70.8,60.1092896175
0.75,244,12,134,110,90.1639344262,45.0819672131,70.8,60.1092896175
0.8,244,12,134,110,90.1639344262,45.0819672131,70.8,60.1092896175
0.85,244,12,134,110,90.1639344262,45.0819672131,70.8,60.1092896175
0.9,244,12,134,110,90.1639344262,45.0819672131,70.8,60.1092896175
0.95,244,12,134,110,90.1639344262,45.0819672131,70.8,60.1092896175
